ordinal	path	bytes	sha256	before_match	after_match
16	tools/native/kira_blackwell_voice_control_anchor_v16.exe	182784	dc688ea754a9003654f1981f670f20cc3109166326a33233a88a1712a34f80f0	true	true
17	RecoverySprint/continuation_20260811/blackwell_v16_native_exact_manifest_row_control_anchor_static_preparation/attempt_01/BUILD_AND_STATIC_TEST_RESULTS.txt	3350	d3207c1cd190f508fc8c78cf0e05e1edce96744da43fcc28b8a28288bdf3b02d	true	true
18	Core/persistent_blackwell_voice_integration_v15.py	44606	adecc01013fefab8a76f6558b6a91cf33ce82f5ed9e8921a45b77abf5d169e7e	true	true
19	tools/native/kira_blackwell_voice_control_anchor_v15_validator.py	21931	2bf232b07b0b7b93de8776f5210bd2d89068ad76cb4ee46555b861ad2818d16a	true	true
20	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v15/candidate_config.json	3725	e282667bcddf46c83d74b2e1ff56b4eed81c88b12a10177b50fca030a1f5faac	true	true
21	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v15/native_control_contract.json	4393	6b5808b14d1c1dbbe23968afb03813ec430ec9e80a1780f454fb6524deafe7f8	true	true
22	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v15/README.md	1303	45140bc00613c269f7207c86eeb4d3c24eda3bf97127cb4774c90dbd64bc5d99	true	true
23	tools/native/kira_blackwell_voice_control_anchor_v15.c	70512	5563fb180e3295f2258ea02c89c4a7c54e8a729da73ea0f0c76ab6d3e557c951	true	true
24	Testing/test_blackwell_persistent_voice_candidate_v15_native_anchor_static.ps1	11373	df8212542c5db05a9337b4c046078eba53b093a721618bd3cb87c8dfd7bd0aa3	true	true
25	RecoverySprint/continuation_20260811/blackwell_v15_native_exact_control_anchor_static_preparation/attempt_01/RUNTIME_CONTROL_CHECKPOINT.md	1234	701efab09fd674a7f39e542fb831945575591b92490caafbd952e24967fecc4b	true	true
26	RecoverySprint/continuation_20260811/blackwell_v15_native_exact_control_anchor_static_preparation/attempt_01/AUTHOR_PACKAGE.json	2748	7d2af69240bb1111a5dfd9e5207e277d697c86f9a5d8dcd91ee835dde5d29ae8	true	true
27	tools/native/kira_blackwell_voice_control_anchor_v15_identity_anchor.h	2388	84d6b215c0b0a5d57ef3fdc167c40d8abdcbdf3622da5b3443bb426f35d5b0c4	true	true
28	tools/native/kira_blackwell_voice_control_anchor_v15.obj	98765	df8e9b21a70aa9cc659c9f4019f5752d06133f803e67d68ab52d4ae507692351	true	true
29	tools/native/kira_blackwell_voice_control_anchor_v15.exe	175104	7d8b807b54df5c980ecca2758e1d4359b3d385e3382839b8fd3101c16ede0a4f	true	true
30	RecoverySprint/continuation_20260811/blackwell_v15_native_exact_control_anchor_static_preparation/attempt_01/BUILD_AND_STATIC_TEST_RESULTS.txt	2629	013df9131f87f87d4af1cd73b2675409048f9655efe0f6b3404256d6c3053774	true	true
31	Core/persistent_blackwell_voice_integration_v14.py	42108	1faeb894bc9ab9e0bd13c06d6af42497c548ee15310ba97c1cc56df902e26d5f	true	true
32	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v14/candidate_config.json	6184	c517afc9953ceae527f88afb0361b1022bcc45d19fc9c577d6e6e58f8ad96695	true	true
33	RecoverySprint/continuation_20260811/blackwell_v14_native_exact_control_anchor_static_preparation/attempt_01/CHECKPOINT.md	4050	e800b28381fa1c2462b0499d3b2e4a03d3e59a0726793c5f74df59394675b3e2	true	true
34	RecoverySprint/continuation_20260811/blackwell_v14_native_exact_control_anchor_static_preparation/attempt_01/STATIC_SEAL_MANIFEST.json	6425	f995cf68ba1b82de0f56acb11c1b1bf73667602beae0a1e685c8eebde13cc4e8	true	true
35	RecoverySprint/continuation_20260811/blackwell_v14_native_exact_control_anchor_fresh_static_audit/attempt_01/AUDIT_DECISION.json	4399	b555938d847955c2fb2844bc1894570ce06ec8b53e3011c9ec9bb9f865c78ecb	true	true
36	RecoverySprint/continuation_20260811/blackwell_v14_native_exact_control_anchor_fresh_static_audit/attempt_01/CHECKPOINT.md	3806	9f15de0358f7563861f034d36fca67fcb14aee0026d90242040807c3b8447fb7	true	true
37	C:/Python314/python314.dll	6767440	a07f7d09c3121492bb066535c6d0811df5fbc2090cbca7031a97bb47ce1480c9	true	true
38	tools/native/runtime/python314_stdlib_v3r4.zip	28997479	7e07541a67b8eba5835c9c371ec90e5732fba6602576ae0a6f22e09b09271846	true	true
39	RecoverySprint/continuation_20260811/blackwell_v15_native_exact_control_anchor_static_preparation/attempt_01/STATIC_SEAL_MANIFEST.json	4557	f3d451041796c2bfbdf5dbe52f3a485b227f67b01af051e9e95c35b40549d932	true	true
40	RecoverySprint/continuation_20260811/blackwell_v15_native_exact_control_anchor_static_preparation/attempt_01/CHECKPOINT.md	2212	0c755424f098136be868234036076400bbb42521dfa9862a45e512c14e9db983	true	true
41	RecoverySprint/continuation_20260811/blackwell_v15_native_exact_control_anchor_fresh_static_audit/attempt_01/INDEPENDENT_AUDIT.tsv	920	38f1ac1902d7547fe161204d7fd61d3aa493e971108133bbbd9a6b61844af128	true	true
42	RecoverySprint/continuation_20260811/blackwell_v15_native_exact_control_anchor_fresh_static_audit/attempt_01/INDEPENDENT_AUDIT.sha256	65	effe3c23d7e2c5b7f65a07fd225ec84b87d01e668728a2f61678a6bc9382ad5f	true	true
43	RecoverySprint/continuation_20260811/blackwell_v15_native_exact_control_anchor_fresh_static_audit/attempt_01/AUDIT_DECISION.json	6899	c525ab16cfad6c6c25f2cbbb8d48a02ec57bdef55832821dc761db731ac80ffe	true	true
44	RecoverySprint/continuation_20260811/blackwell_v15_native_exact_control_anchor_fresh_static_audit/attempt_01/CHECKPOINT.md	5280	5e6a0799da297b962e9bb9dc9973bcc14d8cce252a0f4e9ccf438e13084f2822	true	true
45	RecoverySprint/continuation_20260811/blackwell_v15_native_exact_control_anchor_fresh_static_audit/attempt_01/REVIEW_PROBES.md	9787	082e5fda87136eefd02e5913aca0b89d165eee8da138a1156cf6a49cef5393f8	true	true
46	RecoverySprint/continuation_20260811/blackwell_v15_native_exact_control_anchor_consumed_failure_diagnostic/attempt_01/READ_ONLY_DIAGNOSIS.json	3181	c7d512f1eb1af0cc8c764fd818405b9526eddf0268a50ff2aba43e9364a44463	true	true
47	RecoverySprint/continuation_20260811/blackwell_v15_native_exact_control_anchor_consumed_failure_diagnostic/attempt_01/CHECKPOINT.md	2298	d1a808c3710fbab34e1978c0f9a463189949b6b43c56efa34ded95fb57b0506d	true	true
48	RecoverySprint/continuation_20260811/blackwell_v16_native_exact_manifest_row_control_anchor_static_preparation/attempt_01/STATIC_SEAL_MANIFEST.json	9065	b02ecdace1727a5ab9e8dba9a580932fe886e9ae05561f5241b1fbbffc21acd4	true	true
49	RecoverySprint/continuation_20260811/blackwell_v16_native_exact_manifest_row_control_anchor_fresh_static_audit/attempt_01/AUDIT_DECISION.json	7023	eb8cf761a7821df044a45f81062f7accc7832e2e3b8b993124b4dca63d0fd412	true	true
50	RecoverySprint/continuation_20260811/blackwell_v16_native_exact_manifest_row_control_anchor_fresh_static_audit/attempt_01/CHECKPOINT.md	3463	090c1129aa4abb05be79b3d368ff4da72fcf5be2ee5e7681ffa39d706503ee4b	true	true
51	RecoverySprint/continuation_20260811/blackwell_v16_native_exact_manifest_row_control_anchor_fresh_static_audit/attempt_01/PARSER_PROBE_RESULTS.txt	3613	1a8a57469e770d5bb16f78619a09777741deec7069cfd31d124f525836113d72	true	true
52	RecoverySprint/continuation_20260811/blackwell_v16_native_exact_manifest_row_control_anchor_fresh_static_audit/attempt_01/REVIEW_PROBES.md	7234	517541cb2e47eab433148f00eba23fc02181deae9bc39d46cc2d92b4df38fe94	true	true
53	RecoverySprint/continuation_20260811/blackwell_v16_native_exact_manifest_row_control_anchor_fresh_static_audit/attempt_01/INDEPENDENT_AUDIT.tsv	912	b0be9d89730bf864978fef5e33740e0f34399150f177b47b2841edab7ca94371	true	true
54	RecoverySprint/continuation_20260811/blackwell_v16_native_exact_manifest_row_control_anchor_fresh_static_audit/attempt_01/INDEPENDENT_AUDIT.sha256	65	be75c341c5df0ea0aea545eda21a3278f245559ae429820bfb9b465145a06c90	true	true
55	RecoverySprint/continuation_20260811/blackwell_v16_native_exact_manifest_row_control_anchor_fresh_static_audit/attempt_01/CLOSURE_REHASH.tsv	10360	d6af2190a12efb57a9c794582ada027d9a9dc0fb6116a996c0a4cc07189ddf5f	true	true
56	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v17/candidate_config.json	1520	9514b85374ea5f74361691845c3fbbe10a394f65a24077f12003ca118703c1e4	true	true
57	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v17/native_control_contract.json	3616	942a1274c16755dbe75e48aae224b3be76fbb96a97d6d3984c982c83e415670f	true	true
58	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v17/README.md	1492	25ab177eb925ee10887135797a6876142195be39b4cfdc5fad5e90c7fc670577	true	true
59	tools/native/kira_blackwell_voice_control_anchor_v17.c	83635	850cc18c8084c1cf4a0a8c8353289067bcbe8e7a27cc87fa77287f81b26cd1bc	true	true
60	tools/native/kira_blackwell_voice_control_anchor_v17_identity_anchor.h	6591	8fb7df074a1eb658cdefc7c84aa5d441e8397a6863b79fbeee7901b096b67e94	true	true
61	tools/native/kira_blackwell_voice_control_anchor_v17.obj	127137	17b7dbf117ecba86a6c4e013b8a45fff7722c37a6139fd3cfb7605fda515ad42	true	true
62	tools/native/kira_blackwell_voice_control_anchor_v17.exe	157696	52a4376025bdb08902396c033b66d1626c126e56fcb8134bddb79979cb068a4a	true	true
63	Testing/test_blackwell_persistent_voice_candidate_v17_native_anchor_static.ps1	9810	1ff5a11a3aaa4f8cd263a6f57376890adc1cb9ff69042718e1d0c2e1aa3407c1	true	true
64	Testing/native/kira_blackwell_voice_control_anchor_v17_parser_hostile.c	18529	d8bf5e2b65131b09445e72d31efda1a4b784cfca9d76e78c49c2046f3201875b	true	true
65	Testing/native/kira_blackwell_voice_control_anchor_v17_manifest_fixture.h	72665	c9959c338e519d87d3ca26b356647b0c7bd581fff70b0b41c6db3a316d5e395b	true	true
66	Testing/native/kira_blackwell_voice_control_anchor_v17_parser_hostile.obj	180891	33685ba65cfbce5d4aa1220478add7b741071347a18d9ceaeb6ac81a3ce48369	true	true
67	Testing/native/kira_blackwell_voice_control_anchor_v17_parser_hostile.exe	184320	123c874a7d0e3b1c58fdb787c69a8f78e966da99baa8d3b88b2a434e0a6999dc	true	true
68	RecoverySprint/continuation_20260811/blackwell_v17_native_whole_document_manifest_control_anchor_static_preparation/attempt_01/RUNTIME_CONTROL_CHECKPOINT.md	1729	0266267d5b493f5e44ef3eee2d51efa953bd4612caf5f890a4890aebb8911c84	true	true
69	RecoverySprint/continuation_20260811/blackwell_v17_native_whole_document_manifest_control_anchor_static_preparation/attempt_01/AUTHOR_PACKAGE.json	1993	3a7b6974141e2f1223a08618634eb48a9ae80146b4ed35d0a0928a873082a755	true	true
70	RecoverySprint/continuation_20260811/blackwell_v17_native_whole_document_manifest_control_anchor_static_preparation/attempt_01/BUILD_AND_STATIC_TEST_RESULTS.txt	3326	73e00e91d32e673bc499a606561e7c75d43cbe470c9de1924debe882147bedd5	true	true
71	RecoverySprint/continuation_20260811/blackwell_v17_native_whole_document_manifest_control_anchor_static_preparation/attempt_01/STATIC_SEAL_MANIFEST.json	11748	64fad216711534d8e1e3c014ae616fc651b36f70847c6efc18d55566dc5ab75a	true	true
72	RecoverySprint/continuation_20260811/blackwell_v17_native_whole_document_manifest_control_anchor_static_preparation/attempt_01/CHECKPOINT.md	3498	e34555c5112fd33ced5749658ab9e7cb9f36c92a4bd41442b861e5d873ab5d71	true	true
73	RecoverySprint/continuation_20260811/blackwell_v17_native_whole_document_manifest_control_anchor_fresh_static_audit/attempt_01/AUDIT_DECISION.json	9628	7f1db8ec240862afaf7422ed27ed46da81817da4b9525ec24ff3d0e58749072d	true	true
74	RecoverySprint/continuation_20260811/blackwell_v17_native_whole_document_manifest_control_anchor_fresh_static_audit/attempt_01/AUTHOR_PACKAGE_REHASH.tsv	3067	e28c550ba9ff0e61230d29a3021ea53f678618e552543ea280cdc592bcb1c5dd	true	true
75	RecoverySprint/continuation_20260811/blackwell_v17_native_whole_document_manifest_control_anchor_fresh_static_audit/attempt_01/CHECKPOINT.md	3126	82e6b5350029f281dbdef71d9208ee3ef846489ac54023a6d748f3596d334b70	true	true
76	RecoverySprint/continuation_20260811/blackwell_v17_native_whole_document_manifest_control_anchor_fresh_static_audit/attempt_01/CLOSURE_REHASH.tsv	10316	a5c1513d18851df3989d57f6de6cb6c1b319a9c5d29f821483632835d7da9457	true	true
77	RecoverySprint/continuation_20260811/blackwell_v17_native_whole_document_manifest_control_anchor_fresh_static_audit/attempt_01/INDEPENDENT_AUDIT.sha256	65	4b941dc45675856a5a3b75bd6d44d591a3e7785e6abd5322cebeb7829acc5b5b	true	true
78	RecoverySprint/continuation_20260811/blackwell_v17_native_whole_document_manifest_control_anchor_fresh_static_audit/attempt_01/INDEPENDENT_AUDIT.tsv	1067	2f5d944ea0cf0206cecb99c6f84a9cf066273ae9bef0e111a0f2db1020d73541	true	true
79	RecoverySprint/continuation_20260811/blackwell_v17_native_whole_document_manifest_control_anchor_fresh_static_audit/attempt_01/PARSER_PROBE_RESULTS.txt	4707	6a0d1cad23878420041e3ad8b89ced11e9c9b20911226a4d4dd4e9b2fafadd92	true	true
80	RecoverySprint/continuation_20260811/blackwell_v17_native_whole_document_manifest_control_anchor_fresh_static_audit/attempt_01/REVIEW_PROBES.md	7675	05b3d22b31361780567e70126b45bfdd7f0fe23f4412a9834fb55d0db460a563	true	true
81	RecoverySprint/continuation_20260811/blackwell_v17_native_whole_document_manifest_control_anchor_static_preparation/attempt_01/RUN_EVIDENCE_V17.jsonl	386	269d1eadda20ca6a8a3d6e1679f80d850e32b79146aa562e22765fb624bad32b	true	true
82	RecoverySprint/continuation_20260811/blackwell_v17_native_whole_document_manifest_control_anchor_static_preparation/attempt_01/STATIC_CONTROL_OUTCOME_V17.receipt.bin	700	83c7b11b7c458bdcd5aa75308fe24f5ceae9f700de672eb01affd1f900ffa21d	true	true
83	RecoverySprint/continuation_20260811/blackwell_v17_native_whole_document_manifest_control_anchor_static_preparation/attempt_01/RUN_OUTCOME_V17.json	2586	2651db197caa103b33b7d16fb718707a81cb3a5f2c9906246b775d7a46357dea	true	true
84	RecoverySprint/continuation_20260811/blackwell_v17_native_whole_document_manifest_control_anchor_static_preparation/attempt_01/POST_RUN_CHECKPOINT.md	2439	758c444a4c6b989de1ea9a2413f23b2b798668c22561150889ad9c5e52b60f8f	true	true
85	RecoverySprint/continuation_20260811/root_multilane_continuation/attempt_32/CHECKPOINT.md	2101	7643f1c474974b60ab8cf527fd167724d81e41249653d6338e859a3e0b20786c	true	true
86	RecoverySprint/continuation_20260811/root_multilane_continuation/attempt_35/CHECKPOINT.md	2037	65d212ae07d8f7eeea4a23cc328965be13f647a5cd3fe4fd038b7cba9793dbc4	true	true
