role	path	bytes	sha256	status
accepted_static_predecessor	RecoverySprint/continuation_20260810/blackwell_v8_cpu_park_fresh_static_audit/attempt_01/STATIC_AUDIT_RESULT.json	894	2997b8b950f7e594ce4092104b3df98cc04d265deb55dd5fbd2a606a8c26ad1f	v8_accept_static_only
consumed_failure	RecoverySprint/continuation_20260810/blackwell_v8_bounded_live_acceptance_attempt01_postmortem/attempt_01/CHECKPOINT.md	11762	8da5c5505d62ba0891dd02ced556d77a2c7674ab3febcd9158e5de1a041a75be	v8_do_not_rerun
accepted_static_predecessor	Core/blackwell_v9_process_boundary.py	31961	0dfed07df16a5ded935ac904f73dcba03570681c7ec1a65797138eadf5d4510a	accepted_static_v9_descendant_boundary
accepted_static_predecessor	RecoverySprint/continuation_20260810/blackwell_v9_venv_descendant_fresh_static_audit/attempt_01/STATIC_AUDIT_RESULT.json	6609	2bcd2269404a600d74405b21255bc33ad41e8b0b4f75f4e28edd3cc511974cf8	v9_static_repair_acceptance
consumed_failure	RecoverySprint/continuation_20260810/blackwell_v9_bounded_live_acceptance_attempt02_postmortem/attempt_01/CHECKPOINT.md	6068	8ed11acbfe9ab293b9b5b718abd95b703c36973e5d6d0d070b600d8ec69a801e	v9_do_not_rerun_ctypes_pointer_width
accepted_static_predecessor	Core/blackwell_v10_windows_memory.py	6342	bf2460a33c528749ad075366e2847cdc8fc82b04754545db75db06bba95d587d	accepted_static_typed_win32_memory
accepted_static_predecessor	RecoverySprint/continuation_20260810/blackwell_v10_windows_memory_fresh_static_audit/attempt_01/STATIC_AUDIT_RESULT.json	2934	b0a23f29b2b0aa4637ccc11ba7d8f8a14f6d6353c782188f4202a33ac418f3a8	v10_future_harness_authoring_only
rejected_predecessor	RecoverySprint/continuation_20260811/blackwell_v11_typed_memory_integration_fresh_static_audit/attempt_01/AUDIT_DECISION.json	2358	9ab9a2ec9132e125ef5dead739f8108d8544f449f903e59658610c766ad0c90f	v11_module_substitution_negative_test
rejected_predecessor	RecoverySprint/continuation_20260811/blackwell_v12_canonical_typed_memory_integration_fresh_static_audit/attempt_01/AUDIT_DECISION.json	1484	751939cf93fedfc323ecd7c32ee38c0606bf08f8fcc5ada6d8775b1eee58d41c	v12_control_substitution_negative_test
accepted_static_schema	RecoverySprint/continuation_20260811/blackwell_v19_native_exact_type_and_camera_schema_static_preparation/attempt_01/STATIC_SEAL_MANIFEST.json	23616	1247fce7561f9d47ab0f013b6b98ef0a12ff33eb627bd874c28caa9c94d66713	voice_v19_exact_type_timing_schema_seal
accepted_static_schema	RecoverySprint/continuation_20260811/blackwell_v19_native_exact_type_and_camera_schema_static_preparation/attempt_01/CHECKPOINT.md	3681	ef5f9d847d3946d15d42c84f0f6b4190157d0e67861baeb0ed18df75ecfff225	voice_v19_author_checkpoint
accepted_static_schema	RecoverySprint/continuation_20260811/blackwell_v19_native_exact_type_and_camera_schema_fresh_static_audit/attempt_01/AUDIT_DECISION.json	6373	1d7c65117491c0a1dbc54d6a1922e2f9c8b20bb51079ed7f0189b801222b418b	voice_v19_accept_static_only_no_execution
current_policy	System/Docs/KIRA_MIXED_INITIATIVE_CAMERA_VISION_AND_CONVERSATION_LATENCY_CURRENT_TEST_BOUNDARY_20260811.md	7392	2578af627ee69878085fcb795db79f3af867914d15851e9e9d9386f4941030a7	current_camera_mixed_initiative_measurement_policy
current_finding	System/Docs/KIRA_CAMERA_TEXT_VOICE_LATENCY_STATIC_FINDING_20260811.md	3945	219bf541f13ac102e58f46a5523ebdc5e18cc798ffe064909bfc8d5f027254bc	current_camera_double_qwen_static_finding
current_evidence	RecoverySprint/continuation_20260811/root_multilane_continuation/attempt_69/CHECKPOINT.md	3176	43bf1dc91d1672814f6d34b67f8b2d77ba8fde169b994d637f8d1e72fabb1d6d	seven_capture_playback_api_proxy_reconciliation
current_code_test_evidence	RecoverySprint/continuation_20260811/root_multilane_continuation/attempt_72/CHECKPOINT.md	1717	d4f4d920b199ad9819217796f8cd72b3ed7a4b5d5b6d49ad90db446bf010fa2f	first_waveform_refinement_code_test_only
current_offline_evidence	RecoverySprint/continuation_20260811/root_multilane_continuation/attempt_75/OFFLINE_REPLAY.json	1963	8aa1208db9e119e9d9a6034659d380a008cc9b3c512015d70e362aa73c6275b3	seven_reply_chunk_shape_only
