source_index	source_bone_id	mapped_anatomical_name	parent_evidence	head_tail_evidence	symmetry_evidence	weight_evidence	rest_pose_evidence	status
29	n65	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
30	n66	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
31	n67	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
32	n68	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
33	n69	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
34	n71	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
35	n72	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
36	n73	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
37	n74	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
38	n75	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
39	n76	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
40	n77	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
41	n78	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
42	n79	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
43	n80	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
44	n81	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
45	n82	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
46	n83	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
47	n84	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
48	n85	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
49	n86	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
50	n87	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
51	n88	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
52	n89	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
53	n90	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
54	n91	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
55	n92	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
56	n93	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
57	n111	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
58	n112	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
59	n113	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
60	n114	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
61	n115	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
62	n116	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
63	n117	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
64	n118	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
65	n119	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
66	n122	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
67	n123	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
68	n124	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
69	n125	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
70	n126	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
71	n127	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
72	n128	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
73	n129	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
74	n130	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
75	n131	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
76	n132	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
77	n133	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
78	n134	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
79	n135	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
80	n136	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
81	n137	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
82	n153	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
83	n154	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
84	n155	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
85	n156	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
86	n158	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
87	n159	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
88	n161	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
89	n163	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
90	n164	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
91	n165	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
92	n166	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
93	n167	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
94	n169	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
95	n173	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
96	n174	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
97	n175	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
98	n176	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
99	n180	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
100	n181	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
101	n182	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
102	n183	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
103	n187	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
104	n188	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
105	n189	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
106	n190	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
107	n194	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
108	n195	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
109	n196	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
110	n197	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
111	n201	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
112	n202	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
113	n203	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
114	n204	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
115	n205	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
116	n206	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
117	n208	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
118	n212	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
119	n213	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
120	n214	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
121	n215	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
122	n219	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
123	n220	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
124	n221	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
125	n222	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
126	n226	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
127	n227	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
128	n228	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
129	n229	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
130	n233	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
131	n234	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
132	n235	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
133	n236	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
134	n240	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
135	n241	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
136	n242	UNMAPPED	MISSING	MISSING	MISSING	MISSING	MISSING	SEPARATE_AUDIT_REQUIRED
