path	expected_bytes	expected_sha256	observed_bytes	observed_sha256	before_status	after_status
RecoverySprint/continuation_20260811/blackwell_v16_native_exact_manifest_row_control_anchor_static_preparation/attempt_01/BUILD_AND_STATIC_TEST_RESULTS.txt	3350	d3207c1cd190f508fc8c78cf0e05e1edce96744da43fcc28b8a28288bdf3b02d	3350	d3207c1cd190f508fc8c78cf0e05e1edce96744da43fcc28b8a28288bdf3b02d	EXACT	EXACT
Core/persistent_blackwell_voice_integration_v15.py	44606	adecc01013fefab8a76f6558b6a91cf33ce82f5ed9e8921a45b77abf5d169e7e	44606	adecc01013fefab8a76f6558b6a91cf33ce82f5ed9e8921a45b77abf5d169e7e	EXACT	EXACT
tools/native/kira_blackwell_voice_control_anchor_v15_validator.py	21931	2bf232b07b0b7b93de8776f5210bd2d89068ad76cb4ee46555b861ad2818d16a	21931	2bf232b07b0b7b93de8776f5210bd2d89068ad76cb4ee46555b861ad2818d16a	EXACT	EXACT
Voice/sidecars/chatterbox_blackwell_persistent_candidate_v15/candidate_config.json	3725	e282667bcddf46c83d74b2e1ff56b4eed81c88b12a10177b50fca030a1f5faac	3725	e282667bcddf46c83d74b2e1ff56b4eed81c88b12a10177b50fca030a1f5faac	EXACT	EXACT
Voice/sidecars/chatterbox_blackwell_persistent_candidate_v15/native_control_contract.json	4393	6b5808b14d1c1dbbe23968afb03813ec430ec9e80a1780f454fb6524deafe7f8	4393	6b5808b14d1c1dbbe23968afb03813ec430ec9e80a1780f454fb6524deafe7f8	EXACT	EXACT
Voice/sidecars/chatterbox_blackwell_persistent_candidate_v15/README.md	1303	45140bc00613c269f7207c86eeb4d3c24eda3bf97127cb4774c90dbd64bc5d99	1303	45140bc00613c269f7207c86eeb4d3c24eda3bf97127cb4774c90dbd64bc5d99	EXACT	EXACT
tools/native/kira_blackwell_voice_control_anchor_v15.c	70512	5563fb180e3295f2258ea02c89c4a7c54e8a729da73ea0f0c76ab6d3e557c951	70512	5563fb180e3295f2258ea02c89c4a7c54e8a729da73ea0f0c76ab6d3e557c951	EXACT	EXACT
Testing/test_blackwell_persistent_voice_candidate_v15_native_anchor_static.ps1	11373	df8212542c5db05a9337b4c046078eba53b093a721618bd3cb87c8dfd7bd0aa3	11373	df8212542c5db05a9337b4c046078eba53b093a721618bd3cb87c8dfd7bd0aa3	EXACT	EXACT
RecoverySprint/continuation_20260811/blackwell_v15_native_exact_control_anchor_static_preparation/attempt_01/RUNTIME_CONTROL_CHECKPOINT.md	1234	701efab09fd674a7f39e542fb831945575591b92490caafbd952e24967fecc4b	1234	701efab09fd674a7f39e542fb831945575591b92490caafbd952e24967fecc4b	EXACT	EXACT
RecoverySprint/continuation_20260811/blackwell_v15_native_exact_control_anchor_static_preparation/attempt_01/AUTHOR_PACKAGE.json	2748	7d2af69240bb1111a5dfd9e5207e277d697c86f9a5d8dcd91ee835dde5d29ae8	2748	7d2af69240bb1111a5dfd9e5207e277d697c86f9a5d8dcd91ee835dde5d29ae8	EXACT	EXACT
tools/native/kira_blackwell_voice_control_anchor_v15_identity_anchor.h	2388	84d6b215c0b0a5d57ef3fdc167c40d8abdcbdf3622da5b3443bb426f35d5b0c4	2388	84d6b215c0b0a5d57ef3fdc167c40d8abdcbdf3622da5b3443bb426f35d5b0c4	EXACT	EXACT
tools/native/kira_blackwell_voice_control_anchor_v15.obj	98765	df8e9b21a70aa9cc659c9f4019f5752d06133f803e67d68ab52d4ae507692351	98765	df8e9b21a70aa9cc659c9f4019f5752d06133f803e67d68ab52d4ae507692351	EXACT	EXACT
tools/native/kira_blackwell_voice_control_anchor_v15.exe	175104	7d8b807b54df5c980ecca2758e1d4359b3d385e3382839b8fd3101c16ede0a4f	175104	7d8b807b54df5c980ecca2758e1d4359b3d385e3382839b8fd3101c16ede0a4f	EXACT	EXACT
RecoverySprint/continuation_20260811/blackwell_v15_native_exact_control_anchor_static_preparation/attempt_01/BUILD_AND_STATIC_TEST_RESULTS.txt	2629	013df9131f87f87d4af1cd73b2675409048f9655efe0f6b3404256d6c3053774	2629	013df9131f87f87d4af1cd73b2675409048f9655efe0f6b3404256d6c3053774	EXACT	EXACT
Core/persistent_blackwell_voice_integration_v14.py	42108	1faeb894bc9ab9e0bd13c06d6af42497c548ee15310ba97c1cc56df902e26d5f	42108	1faeb894bc9ab9e0bd13c06d6af42497c548ee15310ba97c1cc56df902e26d5f	EXACT	EXACT
Voice/sidecars/chatterbox_blackwell_persistent_candidate_v14/candidate_config.json	6184	c517afc9953ceae527f88afb0361b1022bcc45d19fc9c577d6e6e58f8ad96695	6184	c517afc9953ceae527f88afb0361b1022bcc45d19fc9c577d6e6e58f8ad96695	EXACT	EXACT
RecoverySprint/continuation_20260811/blackwell_v14_native_exact_control_anchor_static_preparation/attempt_01/CHECKPOINT.md	4050	e800b28381fa1c2462b0499d3b2e4a03d3e59a0726793c5f74df59394675b3e2	4050	e800b28381fa1c2462b0499d3b2e4a03d3e59a0726793c5f74df59394675b3e2	EXACT	EXACT
RecoverySprint/continuation_20260811/blackwell_v14_native_exact_control_anchor_static_preparation/attempt_01/STATIC_SEAL_MANIFEST.json	6425	f995cf68ba1b82de0f56acb11c1b1bf73667602beae0a1e685c8eebde13cc4e8	6425	f995cf68ba1b82de0f56acb11c1b1bf73667602beae0a1e685c8eebde13cc4e8	EXACT	EXACT
RecoverySprint/continuation_20260811/blackwell_v14_native_exact_control_anchor_fresh_static_audit/attempt_01/AUDIT_DECISION.json	4399	b555938d847955c2fb2844bc1894570ce06ec8b53e3011c9ec9bb9f865c78ecb	4399	b555938d847955c2fb2844bc1894570ce06ec8b53e3011c9ec9bb9f865c78ecb	EXACT	EXACT
RecoverySprint/continuation_20260811/blackwell_v14_native_exact_control_anchor_fresh_static_audit/attempt_01/CHECKPOINT.md	3806	9f15de0358f7563861f034d36fca67fcb14aee0026d90242040807c3b8447fb7	3806	9f15de0358f7563861f034d36fca67fcb14aee0026d90242040807c3b8447fb7	EXACT	EXACT
C:/Python314/python314.dll	6767440	a07f7d09c3121492bb066535c6d0811df5fbc2090cbca7031a97bb47ce1480c9	6767440	a07f7d09c3121492bb066535c6d0811df5fbc2090cbca7031a97bb47ce1480c9	EXACT	EXACT
tools/native/runtime/python314_stdlib_v3r4.zip	28997479	7e07541a67b8eba5835c9c371ec90e5732fba6602576ae0a6f22e09b09271846	28997479	7e07541a67b8eba5835c9c371ec90e5732fba6602576ae0a6f22e09b09271846	EXACT	EXACT
RecoverySprint/continuation_20260811/blackwell_v15_native_exact_control_anchor_static_preparation/attempt_01/STATIC_SEAL_MANIFEST.json	4557	f3d451041796c2bfbdf5dbe52f3a485b227f67b01af051e9e95c35b40549d932	4557	f3d451041796c2bfbdf5dbe52f3a485b227f67b01af051e9e95c35b40549d932	EXACT	EXACT
RecoverySprint/continuation_20260811/blackwell_v15_native_exact_control_anchor_static_preparation/attempt_01/CHECKPOINT.md	2212	0c755424f098136be868234036076400bbb42521dfa9862a45e512c14e9db983	2212	0c755424f098136be868234036076400bbb42521dfa9862a45e512c14e9db983	EXACT	EXACT
RecoverySprint/continuation_20260811/blackwell_v15_native_exact_control_anchor_fresh_static_audit/attempt_01/INDEPENDENT_AUDIT.tsv	920	38f1ac1902d7547fe161204d7fd61d3aa493e971108133bbbd9a6b61844af128	920	38f1ac1902d7547fe161204d7fd61d3aa493e971108133bbbd9a6b61844af128	EXACT	EXACT
RecoverySprint/continuation_20260811/blackwell_v15_native_exact_control_anchor_fresh_static_audit/attempt_01/INDEPENDENT_AUDIT.sha256	65	effe3c23d7e2c5b7f65a07fd225ec84b87d01e668728a2f61678a6bc9382ad5f	65	effe3c23d7e2c5b7f65a07fd225ec84b87d01e668728a2f61678a6bc9382ad5f	EXACT	EXACT
RecoverySprint/continuation_20260811/blackwell_v15_native_exact_control_anchor_fresh_static_audit/attempt_01/AUDIT_DECISION.json	6899	c525ab16cfad6c6c25f2cbbb8d48a02ec57bdef55832821dc761db731ac80ffe	6899	c525ab16cfad6c6c25f2cbbb8d48a02ec57bdef55832821dc761db731ac80ffe	EXACT	EXACT
RecoverySprint/continuation_20260811/blackwell_v15_native_exact_control_anchor_fresh_static_audit/attempt_01/CHECKPOINT.md	5280	5e6a0799da297b962e9bb9dc9973bcc14d8cce252a0f4e9ccf438e13084f2822	5280	5e6a0799da297b962e9bb9dc9973bcc14d8cce252a0f4e9ccf438e13084f2822	EXACT	EXACT
RecoverySprint/continuation_20260811/blackwell_v15_native_exact_control_anchor_fresh_static_audit/attempt_01/REVIEW_PROBES.md	9787	082e5fda87136eefd02e5913aca0b89d165eee8da138a1156cf6a49cef5393f8	9787	082e5fda87136eefd02e5913aca0b89d165eee8da138a1156cf6a49cef5393f8	EXACT	EXACT
RecoverySprint/continuation_20260811/blackwell_v15_native_exact_control_anchor_consumed_failure_diagnostic/attempt_01/READ_ONLY_DIAGNOSIS.json	3181	c7d512f1eb1af0cc8c764fd818405b9526eddf0268a50ff2aba43e9364a44463	3181	c7d512f1eb1af0cc8c764fd818405b9526eddf0268a50ff2aba43e9364a44463	EXACT	EXACT
RecoverySprint/continuation_20260811/blackwell_v15_native_exact_control_anchor_consumed_failure_diagnostic/attempt_01/CHECKPOINT.md	2298	d1a808c3710fbab34e1978c0f9a463189949b6b43c56efa34ded95fb57b0506d	2298	d1a808c3710fbab34e1978c0f9a463189949b6b43c56efa34ded95fb57b0506d	EXACT	EXACT
