category	source	copy	bytes	source_sha256	copy_sha256	match
r4_v10	Data/avatar_builder_workspace_tests/kira_r7_adult_surface_trial_20260722/reconstructed_neck_surface_r4_v10/neck_closeup_back.png	preserved/r4_v10_candidate/neck_closeup_back.png	1096991	95bcc1015dc294657c06b7d854a420dc32ee26c48c344dcbc50fff1a3f2fab15	95bcc1015dc294657c06b7d854a420dc32ee26c48c344dcbc50fff1a3f2fab15	true
r4_v10	Data/avatar_builder_workspace_tests/kira_r7_adult_surface_trial_20260722/reconstructed_neck_surface_r4_v10/neck_closeup_front.png	preserved/r4_v10_candidate/neck_closeup_front.png	1132372	dd814c6cecb4c893e3028976cc538d6e680896a2a596b801c84ab4894e4ffeb6	dd814c6cecb4c893e3028976cc538d6e680896a2a596b801c84ab4894e4ffeb6	true
r4_v10	Data/avatar_builder_workspace_tests/kira_r7_adult_surface_trial_20260722/reconstructed_neck_surface_r4_v10/neck_closeup_left.png	preserved/r4_v10_candidate/neck_closeup_left.png	1086408	c66b8d39f68396d821c6831f0913267304c0ac4bd79f2ea84d405580e83f2c5a	c66b8d39f68396d821c6831f0913267304c0ac4bd79f2ea84d405580e83f2c5a	true
r4_v10	Data/avatar_builder_workspace_tests/kira_r7_adult_surface_trial_20260722/reconstructed_neck_surface_r4_v10/neck_closeup_right.png	preserved/r4_v10_candidate/neck_closeup_right.png	1077506	0c270bb90ff94aae7a9111c30999686f778453379baf2e2c2795292a6d0a2d88	0c270bb90ff94aae7a9111c30999686f778453379baf2e2c2795292a6d0a2d88	true
r4_v10	Data/avatar_builder_workspace_tests/kira_r7_adult_surface_trial_20260722/reconstructed_neck_surface_r4_v10/neutral_back.png	preserved/r4_v10_candidate/neutral_back.png	1037586	8bd6d7f3fa1ae6a4fcfdf94be9942be635d49bf62c6bedfa0ff8c6bbdd345a82	8bd6d7f3fa1ae6a4fcfdf94be9942be635d49bf62c6bedfa0ff8c6bbdd345a82	true
r4_v10	Data/avatar_builder_workspace_tests/kira_r7_adult_surface_trial_20260722/reconstructed_neck_surface_r4_v10/neutral_front.png	preserved/r4_v10_candidate/neutral_front.png	1050670	8330d59c035ddb9b570a8cfab13193c45176e4503c416d11b973f7fab2f8cd4c	8330d59c035ddb9b570a8cfab13193c45176e4503c416d11b973f7fab2f8cd4c	true
r4_v10	Data/avatar_builder_workspace_tests/kira_r7_adult_surface_trial_20260722/reconstructed_neck_surface_r4_v10/neutral_left.png	preserved/r4_v10_candidate/neutral_left.png	1016901	8398b1f41d96cd17090a3c101ffa1132b4bd97c74bdb586a96df3709eb977c3e	8398b1f41d96cd17090a3c101ffa1132b4bd97c74bdb586a96df3709eb977c3e	true
r4_v10	Data/avatar_builder_workspace_tests/kira_r7_adult_surface_trial_20260722/reconstructed_neck_surface_r4_v10/neutral_right.png	preserved/r4_v10_candidate/neutral_right.png	1012892	884240e0e1016c2dd34f2c9000daf1d8deb67345f4c9a5d050026711ffa30401	884240e0e1016c2dd34f2c9000daf1d8deb67345f4c9a5d050026711ffa30401	true
r4_v10	Data/avatar_builder_workspace_tests/kira_r7_adult_surface_trial_20260722/reconstructed_neck_surface_r4_v10/pose_bilateral_squat.png	preserved/r4_v10_candidate/pose_bilateral_squat.png	1054443	1d31a71462c181644f90c7088c7fd36497a7e6656ef891ca9c7b333913c7e8c8	1d31a71462c181644f90c7088c7fd36497a7e6656ef891ca9c7b333913c7e8c8	true
r4_v10	Data/avatar_builder_workspace_tests/kira_r7_adult_surface_trial_20260722/reconstructed_neck_surface_r4_v10/pose_hip_knee.png	preserved/r4_v10_candidate/pose_hip_knee.png	1046234	78c58dcc9f4d6686c9b4788762d1a4df4d4c87316475e3b1105b46db8175b03a	78c58dcc9f4d6686c9b4788762d1a4df4d4c87316475e3b1105b46db8175b03a	true
r4_v10	Data/avatar_builder_workspace_tests/kira_r7_adult_surface_trial_20260722/reconstructed_neck_surface_r4_v10/pose_spine_neck.png	preserved/r4_v10_candidate/pose_spine_neck.png	1017235	30c32e5cfec77c3ef1d22afd9fe84750207e31a39f380235e9d2819baae76982	30c32e5cfec77c3ef1d22afd9fe84750207e31a39f380235e9d2819baae76982	true
r4_v10	Data/avatar_builder_workspace_tests/kira_r7_adult_surface_trial_20260722/reconstructed_neck_surface_r4_v10/pose_upper_limb.png	preserved/r4_v10_candidate/pose_upper_limb.png	1045174	1f921d37559c777178e1023ef1ce041eba5b3b7091883abbeb1cb1ca49d6d41b	1f921d37559c777178e1023ef1ce041eba5b3b7091883abbeb1cb1ca49d6d41b	true
r4_v10	Data/avatar_builder_workspace_tests/kira_r7_adult_surface_trial_20260722/reconstructed_neck_surface_r4_v10/reopen_verification.json	preserved/r4_v10_candidate/reopen_verification.json	1069	861e1c38df50d60811118c859c286b24ff3d1cc9205966b9981c75573c713ab7	861e1c38df50d60811118c859c286b24ff3d1cc9205966b9981c75573c713ab7	true
runtime_recovery	Avatar/state/body_selections/kira_r6_review_staging.json	preserved/runtime_recovery_metadata/kira_r6_review_staging.json	2161	0cc6b47cbbce7040defd83a68b0fa7811a1131bb8dc075086ab1103c839f334c	0cc6b47cbbce7040defd83a68b0fa7811a1131bb8dc075086ab1103c839f334c	true
runtime_recovery	Avatar/state/body_selections/kira_runtime_body_selection.json	preserved/runtime_recovery_metadata/kira_runtime_body_selection.json	3620	245668981c10ba82399c8685f77b4ad111c26dbb5ccc4d9bad729eef2029f94b	245668981c10ba82399c8685f77b4ad111c26dbb5ccc4d9bad729eef2029f94b	true
runtime_recovery	Avatar/state/body_selections/backups/kira_pre_r6_live_trial_20260719_001839/rollback_manifest.json	preserved/runtime_recovery_metadata/rollback_manifest.json	1865	557b509c7671a016bd8352453458657b691ea0da304ea05495fa5f68eda9e7f7	557b509c7671a016bd8352453458657b691ea0da304ea05495fa5f68eda9e7f7	true
